Time Start,Time End,iters,M,N,K,Size,Core Freq,Runtime,Flops,s/f,Gflop/s,Peak FP,% peak,L1/L2 lines,L2/L3 lines,L3/DRAM lines,L1/L2 Bytes,L2/L3 Bytes,L3/DRAM Bytes,L1/L2 F/B,L2/L3 F/B,L3/DRAM F/B,DRAM B/W,Power,Energy,Stddev Power,Samples Power
[22:46:34],[22:46:45],262144,500,500,500,1.914978027,2,0.000042,500000,8.4E-11,11.9047619,256,4.650297619,46846.63809,16783.22495,0.636326,2998184.838,1074126.396,40.724864,0.16676757,0.465494565,12277.51184,0.00096964,0,0,0,0
[22:48:26],[22:48:36],65536,1500,1500,1500,17.18902588,2,0.000154,4500000,3.42222E-11,29.22077922,256,11.41436688,339943.705,422368.3415,1984.048035,21756397.12,27031573.85,126979.0742,0.206835717,0.166471994,35.43891013,0.824539443,212.875,0.03278275,0.263391344,8
[22:50:04],[22:50:15],8192,2500,2500,2500,47.72186279,2,0.001344,12500000,1.0752E-10,9.300595238,256,3.633045015,893147.2616,1180274.296,648407.8495,57161424.74,75537554.95,41498102.37,0.218678944,0.165480601,0.301218593,30.87656426,245.2111111,0.329563733,0.617241974,9
[22:51:42],[22:51:54],4096,3500,3500,3500,93.51348877,2,0.003124,24500000,1.2751E-10,7.842509603,256,3.063480314,1711190.895,2214445.365,1681268.636,109516217.2,141724503.3,107601192.7,0.22371116,0.172870601,0.227692643,34.44340356,248.44,0.77612656,0.300665928,10
[22:53:16],[22:53:27],2048,4500,4500,4500,154.5639038,2,0.005117,40500000,1.26346E-10,7.914793825,256,3.091716338,2789475.453,3537398.413,2765685.7,178526429,226393498.4,177003884.8,0.226857168,0.178892063,0.228808537,34.59133961,216.35,1.10706295,30.65,2
[22:54:57],[22:55:13],2048,5500,5500,5500,230.8731079,2,0.00772,60500000,1.27603E-10,7.836787565,256,3.061245142,4198193.347,5190866.683,4098430.873,268684374.2,332215467.7,262299575.8,0.225171263,0.182110726,0.230652298,33.976629,246.6,1.903752,1.002853073,14
[22:56:36],[22:56:47],1024,6500,6500,6500,322.4411011,2,0.010636,84500000,1.2587E-10,7.944716059,256,3.10340471,5802833.049,7020899.643,5697250.291,371381315.1,449337577.1,364624018.6,0.227528948,0.188054604,0.231745567,34.28206268,248.3888889,2.641864222,2.507076405,9
[22:58:19],[22:58:33],1024,7500,7500,7500,429.2678833,2,0.013923,112500000,1.2376E-10,8.080155139,256,3.156310601,7595991.25,9018798.872,7553151.365,486143440,577203127.8,483401687.4,0.231413181,0.194905389,0.232725708,34.71965003,249.0833333,3.46798725,0.106718737,12
[23:00:14],[23:00:32],1024,8500,8500,8500,551.3534546,2,0.017763,144500000,1.22927E-10,8.134887125,256,3.177690283,9742851.754,11434664.58,9686751.087,623542512.2,731818533,619952069.6,0.231740414,0.197453321,0.233082535,34.90131563,224.5,3.9877935,46.5514554,20
[23:02:06],[23:02:17],512,9500,9500,9500,688.6978149,2,0.022111,180500000,1.22499E-10,8.163357605,256,3.188811564,12115000.25,13977001.01,12054684.98,775360016.2,894528064.6,771499838.6,0.232795084,0.201782378,0.233959867,34.89212784,247.8555556,5.480334189,0.362433476,9
[23:04:01],[23:04:15],512,10500,10500,10500,841.3009644,2,0.026954,220500000,1.2224E-10,8.180603992,256,3.195548434,15046240.74,16919858.49,14690147.33,962959407.1,1082870944,940169429.2,0.228981615,0.203625373,0.234532195,34.88051604,248.5833333,6.700315167,2.076388424,12
[23:06:08],[23:06:25],512,11500,11500,11500,1009.162903,2,0.032694,264500000,1.23607E-10,8.09016945,256,3.160222441,18101238.86,19705914.54,17691419.48,1158479287,1261178531,1132250846,0.228316555,0.209724471,0.233605478,34.6317626,248.2066667,8.11486876,2.102527579,15
[23:08:27],[23:08:46],512,12500,12500,12500,1192.28363,2,0.038059,312500000,1.21789E-10,8.210935653,256,3.207396739,22071267.04,23096238.85,20794031.8,1412561091,1478159287,1330818035,0.22122937,0.211411587,0.234817978,34.967236,236.4,8.9971476,25.60969868,6
[23:10:42],[23:10:53],256,13500,13500,13500,1390.663147,2,0.044121,364500000,1.21045E-10,8.261372136,256,3.227098491,26694884.05,26562496.29,24206334.13,1708472579,1699999763,1549205384,0.213348464,0.214411795,0.235281909,35.11265349,248.9777778,10.98514853,0.553328871,9
[23:13:01],[23:13:14],256,14500,14500,14500,1604.301453,2,0.051006,420500000,1.21298E-10,8.244128142,256,3.220362555,32337525.95,30529898.13,27925487.76,2069601661,1953913480,1787231216,0.203179195,0.21520912,0.235280134,35.03962703,248.7545455,12.68797435,0.772673795,11
[23:15:28],[23:15:43],256,15500,15500,15500,1833.198547,2,0.058345,480500000,1.21426E-10,8.235495758,256,3.21699053,38481680.36,34756906.73,31906510.23,2462827543,2224442030,2042016654,0.195100953,0.216009225,0.235306602,34.99899999,249.4,14.551243,2.030914913,13
[23:18:11],[23:18:29],256,16500,16500,16500,2077.354431,2,0.067062,544500000,1.23163E-10,8.119352241,256,3.171621969,43895186.05,39235465.55,36338638.43,2809291907,2511069795,2325672860,0.193821083,0.216839851,0.234125792,34.67944379,249.25625,16.71562264,0.725403982,16
[23:21:17],[23:21:37],256,17500,17500,17500,2336.769104,2,0.074586,612500000,1.21773E-10,8.211996889,256,3.207811285,49280367.21,43587456,40658494.27,3153943502,2789597184,2602143633,0.194201323,0.219565751,0.235382856,34.88782926,249.9555556,18.64318507,1.847587683,18
[23:24:21],[23:24:31],128,18500,18500,18500,2611.442566,2,0.083454,684500000,1.2192E-10,8.202123325,256,3.203954424,54995258.43,48264025.38,45360688.43,3519696540,3088897624,2903084060,0.194476993,0.221600093,0.235783734,34.78663766,250.7,20.9219178,0.070710678,8
[23:27:25],[23:27:36],128,19500,19500,19500,2901.374817,2,0.093325,760500000,1.22715E-10,8.14894187,256,3.183180418,61340803.65,52855193.92,50458299.92,3925811434,3382732411,3229331195,0.193717914,0.224818256,0.235497679,34.60306665,250.7777778,23.40383611,0.103040206,9
[23:30:33],[23:30:46],128,20500,20500,20500,3206.565857,2,0.103365,840500000,1.2298E-10,8.131379094,256,3.176319958,67754278.55,57867081.36,55682711.37,4336273828,3703493207,3563693528,0.19383001,0.226947898,0.235850809,34.47679125,251.2636364,25.97186577,0.064282435,11
[23:34:09],[23:34:24],128,21500,21500,21500,3527.015686,2,0.114574,924500000,1.23931E-10,8.069020895,256,3.151961287,74266624.16,63391054.92,61400770.05,4753063946,4057027515,3929649283,0.194506114,0.227876197,0.235262725,34.29791474,251.1615385,28.77658211,2.154972233,13
[23:38:01],[23:38:17],128,22500,22500,22500,3862.724304,2,0.124657,1012500000,1.23118E-10,8.122287557,256,3.172768577,81255982.55,69070585.85,67335788.71,5200382883,4420517494,4309490478,0.194697203,0.229045581,0.234946569,34.57078606,251.4071429,31.33966021,1.864887697,14
[23:42:04],[23:42:22],128,23500,23500,23500,4213.691711,2,0.134794,1104500000,1.22041E-10,8.193984895,256,3.20077535,88498677.4,75687358.91,73352580.22,5663915354,4843990970,4694565134,0.195006445,0.228014463,0.235272058,34.82770104,250.94375,33.82571184,1.788494042,16
[23:46:27],[23:46:45],128,24500,24500,24500,4579.917908,2,0.146611,1200500000,1.22125E-10,8.188335118,256,3.198568406,96449964.18,82836499.56,79697231.43,6172797708,5301535972,5100622812,0.194482317,0.226443809,0.235363414,34.79017817,251.1,36.8140221,0.781824789,16
